id,word,phonetic_uk,phonetic_us,meanings,hasEtymology,hasMemoryStory,hasAcademicContext,hasDailyContext,hasGameDescription
w1466,"want","/wɔnt/","/wɔnt/","想, 想要, 需要",false,true,true,true,true
w1467,"war","/wɔː(r)/","/wɔː(r)/","战争",false,true,true,true,true
w1471,"watch","/wɔtʃ/","/wɔtʃ/","观看, 注视, 当心",true,true,true,true,true
w1472,"water","/ˈwɔːtə(r)/","/ˈwɔːtə(r)/","水v. 浇水",true,true,true,true,true
w1473,"way","/weɪ/","/weɪ/","路, 路线, 方式",false,true,true,true,true
w1474,"we","/wiː, wɪ/","/wiː, wɪ/","我们",false,true,true,true,true
w1478,"week","/wiːk/","/wiːk/","星期, 周",false,true,true,true,true
w1489,"what","/wɔt; (US) hwɑt/","/wɔt; (US) hwɑt/","什么, 怎么样 a. 多么, 何等",false,true,true,true,true
w1493,"when","/wen/","/wen/","当…的时候 ad. 什么时候, 何时",false,true,true,true,true
w1497,"whether","/ˈweðə(r); (US) ˈhweðər/","/ˈweðə(r); (US) ˈhweðər/","是否",true,true,true,true,true
w1498,"which","/wɪtʃ; (US) hwɪtʃ/","/wɪtʃ; (US) hwɪtʃ/","哪一个, 哪些",false,true,true,true,true
w1500,"while","/waɪl; (US) hwaɪl/","/waɪl; (US) hwaɪl/","在…的时候, 和…同时 n. 一会儿, 一段时间",false,true,true,true,true
w1501,"white","/waɪt; (US) hwaɪt/","/waɪt; (US) hwaɪt/","白色的 n. 白色",false,true,true,true,true
w1502,"who","/huː/","/huː/","谁",false,true,true,true,true
w1503,"whole","/həʊl/","/həʊl/","整个的",false,true,true,true,true
w1505,"whose","/huːz/","/huːz/","谁的",false,true,true,true,true
w1506,"wide","/waid/","/waid/","宽阔的",false,true,true,true,true
w1507,"wife","/waɪf/","/waɪf/","妻子",false,true,true,true,true
w1508,"will","/wɪl/","/wɪl/","意志, 遗嘱",false,true,true,true,true
w1509,"will","/wɪl/","/wɪl/","将, 会(表示将来), 愿意",false,true,true,true,true
w1510,"window","/ˈwɪndəʊ/","/ˈwɪndəʊ/","窗户, 计算机的窗",false,true,true,true,true
w1515,"wish","/wɪʃ/","/wɪʃ/","愿望, 祝愿 vt. 希望, 想要",false,true,true,true,true
w1516,"without","/wɪðaʊt/","/wɪðaʊt/","没有",false,true,true,true,true
w1521,"word","/wəːd/","/wəːd/","词, 单词, 话",false,true,true,true,true
w1522,"work","/wəːk/","/wəːk/","工作, 劳动, 事情 vi. 工作",true,true,true,true,true
w1526,"world","/wəːld/","/wəːld/","世界",false,true,true,true,true
w1532,"would","/wəd, wud/","/wəd, wud/","v.（will的过去时）将会, 打算, 想要",false,true,true,true,true
w1534,"wrong","/rɔŋ/","/rɔŋ/","错误, 不正常, 有毛病的",false,true,true,true,true
w1536,"year","/jɪə(r), jəː(r)/","/jɪə(r), jəː(r)/","年",false,true,true,true,true
w1540,"you","/juː, jʊ/","/juː, jʊ/","你, 你们",false,true,true,true,true
w1541,"young","/jʌŋ/","/jʌŋ/","年轻的",false,true,true,true,true
w1542,"your","/jɔː/","/jɔː/","你的, 你们的",false,true,true,true,true
